Bifolio	Sequence
urn:cite:hcmid:gen49bifolios.1v_2r	1
urn:cite:hcmid:gen49bifolios.2v_3r	2
urn:cite:hcmid:gen49bifolios.3v_3ar	3
urn:cite:hcmid:gen49bifolios.3av_4r	4
urn:cite:hcmid:gen49bifolios.4v_5r	5
urn:cite:hcmid:gen49bifolios.5v_6r	6
urn:cite:hcmid:gen49bifolios.6v_7r	7
urn:cite:hcmid:gen49bifolios.7v_8r	8
urn:cite:hcmid:gen49bifolios.8v_9r	9
urn:cite:hcmid:gen49bifolios.9v_10r	10
urn:cite:hcmid:gen49bifolios.10v_11r	11
urn:cite:hcmid:gen49bifolios.11v_12r	12
urn:cite:hcmid:gen49bifolios.12v_13r	13
urn:cite:hcmid:gen49bifolios.13v_14r	14
urn:cite:hcmid:gen49bifolios.14v_15r	15
urn:cite:hcmid:gen49bifolios.15v_16r	16
urn:cite:hcmid:gen49bifolios.16v_17r	17
urn:cite:hcmid:gen49bifolios.17v_18r	18
urn:cite:hcmid:gen49bifolios.18v_19r	19
urn:cite:hcmid:gen49bifolios.19v_20r	20
urn:cite:hcmid:gen49bifolios.20v_21r	21
urn:cite:hcmid:gen49bifolios.21v_22r	22
urn:cite:hcmid:gen49bifolios.22v_23r	23
urn:cite:hcmid:gen49bifolios.23v_24r	24
urn:cite:hcmid:gen49bifolios.24v_25r	25
urn:cite:hcmid:gen49bifolios.25v_26r	26
urn:cite:hcmid:gen49bifolios.26v_27r	27
urn:cite:hcmid:gen49bifolios.27v_28r	28
urn:cite:hcmid:gen49bifolios.28v_29r	29
urn:cite:hcmid:gen49bifolios.29v_30r	30
urn:cite:hcmid:gen49bifolios.30v_31r	31
urn:cite:hcmid:gen49bifolios.31v_32r	32
urn:cite:hcmid:gen49bifolios.32v_33r	33
urn:cite:hcmid:gen49bifolios.33v_34r	34
urn:cite:hcmid:gen49bifolios.34v_35r	35
urn:cite:hcmid:gen49bifolios.35v_36r	36
urn:cite:hcmid:gen49bifolios.36v_37r	37
urn:cite:hcmid:gen49bifolios.37v_38r	38
urn:cite:hcmid:gen49bifolios.38v_39r	39
urn:cite:hcmid:gen49bifolios.39v_40r	40
urn:cite:hcmid:gen49bifolios.40v_41r	41
urn:cite:hcmid:gen49bifolios.41v_42r	42
urn:cite:hcmid:gen49bifolios.42v_43r	43
urn:cite:hcmid:gen49bifolios.43v_44r	44
urn:cite:hcmid:gen49bifolios.44v_45r	45
urn:cite:hcmid:gen49bifolios.45v_46r	46
urn:cite:hcmid:gen49bifolios.46v_47r	47
urn:cite:hcmid:gen49bifolios.47v_48r	48
urn:cite:hcmid:gen49bifolios.48v_49r	49
urn:cite:hcmid:gen49bifolios.49v_50r	50
urn:cite:hcmid:gen49bifolios.50v_51r	51
urn:cite:hcmid:gen49bifolios.51v_52r	52
urn:cite:hcmid:gen49bifolios.52v_53r	53
urn:cite:hcmid:gen49bifolios.53v_54r	54
urn:cite:hcmid:gen49bifolios.54v_55r	55
urn:cite:hcmid:gen49bifolios.55v_56r	56
urn:cite:hcmid:gen49bifolios.56v_57r	57
urn:cite:hcmid:gen49bifolios.57v_58r	58
urn:cite:hcmid:gen49bifolios.58v_59r	59
urn:cite:hcmid:gen49bifolios.59v_60r	60
urn:cite:hcmid:gen49bifolios.60v_61r	61
urn:cite:hcmid:gen49bifolios.61v_62r	62
urn:cite:hcmid:gen49bifolios.62v_63r	63
urn:cite:hcmid:gen49bifolios.63v_64r	64
urn:cite:hcmid:gen49bifolios.64v_65r	65
urn:cite:hcmid:gen49bifolios.65v_66r	66
urn:cite:hcmid:gen49bifolios.66v_67r	67
urn:cite:hcmid:gen49bifolios.67v_68r	68
urn:cite:hcmid:gen49bifolios.68v_69r	69
urn:cite:hcmid:gen49bifolios.69v_70r	70
urn:cite:hcmid:gen49bifolios.70v_71r	71
urn:cite:hcmid:gen49bifolios.71v_72r	72
urn:cite:hcmid:gen49bifolios.72v_73r	73
urn:cite:hcmid:gen49bifolios.73v_74r	74
urn:cite:hcmid:gen49bifolios.74v_75r	75
urn:cite:hcmid:gen49bifolios.75v_76r	76
urn:cite:hcmid:gen49bifolios.76v_77r	77
urn:cite:hcmid:gen49bifolios.77v_78r	78
urn:cite:hcmid:gen49bifolios.78v_79r	79
urn:cite:hcmid:gen49bifolios.79v_80r	80
urn:cite:hcmid:gen49bifolios.80v_81r	81
urn:cite:hcmid:gen49bifolios.81v_82r	82
urn:cite:hcmid:gen49bifolios.82v_83r	83
urn:cite:hcmid:gen49bifolios.83v_84r	84
urn:cite:hcmid:gen49bifolios.84v_85r	85
urn:cite:hcmid:gen49bifolios.85v_86r	86
urn:cite:hcmid:gen49bifolios.86v_87r	87
urn:cite:hcmid:gen49bifolios.87v_88r	88
urn:cite:hcmid:gen49bifolios.88v_89r	89
urn:cite:hcmid:gen49bifolios.89v_90r	90
urn:cite:hcmid:gen49bifolios.90v_91r	91
urn:cite:hcmid:gen49bifolios.91v_92r	92
urn:cite:hcmid:gen49bifolios.92v_93r	93
urn:cite:hcmid:gen49bifolios.93v_94r	94
urn:cite:hcmid:gen49bifolios.94v_95r	95
urn:cite:hcmid:gen49bifolios.95v_96r	96
urn:cite:hcmid:gen49bifolios.96v_97r	97
urn:cite:hcmid:gen49bifolios.97v_98r	98
urn:cite:hcmid:gen49bifolios.98v_99r	99
urn:cite:hcmid:gen49bifolios.99v_100r	100
urn:cite:hcmid:gen49bifolios.100v_101r	101
urn:cite:hcmid:gen49bifolios.101v_102r	102
urn:cite:hcmid:gen49bifolios.102v_103r	103
urn:cite:hcmid:gen49bifolios.103v_104r	104
urn:cite:hcmid:gen49bifolios.104v_105r	105
urn:cite:hcmid:gen49bifolios.105v_106r	106
urn:cite:hcmid:gen49bifolios.106v_107r	107
urn:cite:hcmid:gen49bifolios.107v_108r	108
urn:cite:hcmid:gen49bifolios.108v_109r	109
urn:cite:hcmid:gen49bifolios.109v_110r	110
urn:cite:hcmid:gen49bifolios.110v_111r	111
urn:cite:hcmid:gen49bifolios.111v_112r	112
urn:cite:hcmid:gen49bifolios.112v_113r	113
urn:cite:hcmid:gen49bifolios.113v_114r	114
urn:cite:hcmid:gen49bifolios.114v_115r	115
urn:cite:hcmid:gen49bifolios.115v_116r	116
urn:cite:hcmid:gen49bifolios.116v_117r	117
