Image,Caption,Rights
urn:cite:hcmid:gen49bifolioimgs.gen49_1v_2r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 1 verso and 2 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 1r  and 2v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_2v_3r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 2 verso and 3 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 2r  and 3v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_3v_3ar,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 3 verso and 3a recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 3r  and 3av (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_3av_4r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 3a verso and 4 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 3ar  and 4v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_4v_5r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 4 verso and 5 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 4r  and 5v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_5v_6r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 5 verso and 6 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 5r  and 6v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_6v_7r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 6 verso and 7 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 6r  and 7v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_7v_8r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 7 verso and 8 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 7r  and 8v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_8v_9r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 8 verso and 9 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 8r  and 9v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_9v_10r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 9 verso and 10 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 9r  and 10v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_10v_11r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 10 verso and 11 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 10r  and 11v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_11v_12r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 11 verso and 12 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 11r  and 12v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_12v_13r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 12 verso and 13 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 12r  and 13v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_13v_14r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 13 verso and 14 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 13r  and 14v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_14v_15r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 14 verso and 15 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 14r  and 15v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_15v_16r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 15 verso and 16 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 15r  and 16v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_16v_17r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 16 verso and 17 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 16r  and 17v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_17v_18r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 17 verso and 18 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 17r  and 18v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_18v_19r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 18 verso and 19 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 18r  and 19v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_19v_20r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 19 verso and 20 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 19r  and 20v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_20v_21r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 20 verso and 21 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 20r  and 21v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_21v_22r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 21 verso and 22 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 21r  and 22v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_22v_23r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 22 verso and 23 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 22r  and 23v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_23v_24r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 23 verso and 24 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 23r  and 24v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_24v_25r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 24 verso and 25 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 24r  and 25v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_25v_26r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 25 verso and 26 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 25r  and 26v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_26v_27r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 26 verso and 27 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 26r  and 27v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_27v_28r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 27 verso and 28 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 27r  and 28v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_28v_29r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 28 verso and 29 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 28r  and 29v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_29v_30r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 29 verso and 30 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 29r  and 30v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_30v_31r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 30 verso and 31 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 30r  and 31v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_31v_32r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 31 verso and 32 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 31r  and 32v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_32v_33r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 32 verso and 33 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 32r  and 33v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_33v_34r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 33 verso and 34 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 33r  and 34v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_34v_35r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 34 verso and 35 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 34r  and 35v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_35v_36r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 35 verso and 36 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 35r  and 36v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_36v_37r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 36 verso and 37 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 36r  and 37v (www.e-codices.unifr.ch)."
urn:cite:hcmid:gen49bifolioimgs.gen49_37v_38r,"Genève, Bibliothèque de Genève, Ms. lat. 49, bifolio spread of folios 37 verso and 38 recto","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: Genève, Bibliothèque de Genève, Ms. lat. 49, f. 37r  and 38v (www.e-codices.unifr.ch)."
