TextUrn,ImageCitation
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.header_2,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.028,0.0029,0.4454,0.1027"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.192_2,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.024,0.0942,0.4424,0.0456"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.192_3,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1221,0.1298,0.3393,0.0285"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.192_4,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1201,0.1526,0.3524,0.0942"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.193,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1201,0.1897,0.1922,0.0499"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.193_1,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1201,0.2454,0.3504,0.1041"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.193_2,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1201,0.2924,0.3504,0.0257"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.193_3,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1171,0.3096,0.3473,0.0542"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.193_4,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1151,0.3809,0.3614,0.0956"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.194,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1151,0.4123,0.1922,0.0571"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.194_1,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1251,0.4693,0.3504,0.0442"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.194_2,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1271,0.495,0.3504,0.0571"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.194_3,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.1231,0.5535,0.3504,0.0285"
urn:cts:latinLit:stoa0162.stoa005.gen49:30.t1.194_3_r1,"urn:cite:hcmid:gen49bifolioimg.gen49_105v_106r@0.042,0.5777,0.3604,0.2782"
