Medorum,Hebraeorum Iuda,,Hebraeorum Israel,Lydorum,Latinorum,Atheniensium,,Macedonum,Regn Aegyptiorum,Ann. Mundi.
Olympias. I.,,,,,,,,,,
XVI,L,,X,III,XXI,III,Arctinus milesius versificator florentissimus hr.,X,VI,
,,,Post quem FACEE ann. XX.,,,,,,,
XVII,LI,,I Sub hoc facee Theglad fallassar rex assyrius magna* partem populi ludeorum Assyrios transtulit.,IIII,XXII,IIII,,XI,VII,
XVIII,LII,,II,V,XXIII,V,,XII,VIIII,
.,Hebreoru Iuda. XIII. Ioatham. ann. XVI,,,,,,,Macedonu. III. TITAMMAS. ann. XXXVIII,,
XIX,I,,III,VI,XXIIII,VI,Athenis pmu Trieres Nauigauit: Amynocleo cursum dirigente.,I,IX,
Olympias II,,,,,,,,,,
XX,II,,IIII,VII,XXV,VII,Remus et romulus generantur matre Ilia.,II,X,
XXI,III,,V,VIII,XXVI,VIII,,III,XI,IIIICCCCXXX.
XXII,IIII,prophetabant osse. Iohel. esaias. obed.,VI,IX,XXVII,IX,,IIII,XII,
XXIII,V,,VII,X,XXVIII,X,Hesiodus secundu qsdas clarus hr.,V,VIII,
Olympias. III,,,,,,,,,,
XXIIII,VI,,VIII,XI,XXIX,XI,,VI,XIIII,
XXV,VII,,IX,XII,XXX,XII,Cynedon Lacedemonius poeta:qui theogonian scripsit agnoscitur,VII,XV,
XXVI,VIII,,X,XIII,XXXI,XIII,,VIII,XVI,
XXVII,IX,,XI,XIIII,XXXII,XIIII,,IX,XVII,
Olympias. IIII.,,,,,,,,,,
XXVIII,X,,XII,XV,XXXIII,XV,Thersi. Cyrenen condiderunt x responso phebi. Conditur urbis bacthus cuius propum nomen aristeus.,X,XVIII,
XXIX,XI,,XIII,XVI,XXXIIII,XVI,,XI,XIX,
XXX,XII,,XIIII,XVII,XXXV,XVII,,XII,XX,
Medoru. III Medidus. ann. XL.,,,,,,,,,,
I,VIII,,XV,XVIII,XXXVI,XVIII,Ardus insula condita.,XIII,XXI,IIIICCCCXL.
Olympias. V,,,,,,,,,,
II,XIIII,,XVI,XIX,XXXVII,XIX,XIIII,XXII,,
