REGNUM MEDORUM,, HABRAEORUM IUDA,,HEBRAEORUM ISRAEL,LYDORUM,LATINORUM,ATHENIENSIUM,,MACEDONUM,REGN. AEGYPTIORUM,ANN. MUNDI.
III,Eumelus poeta agnoscit qui bugoniam et europa et artinus q ethiopida composuit et Iliaca vastationes,XV,,XVII,XX,XXXVIII,XX,,XV,XXIII,
IIII,,XVI,,XVIII,XXI,XXXIX,XXI,,XVI,XIIII,
,,Hebraeorum Iuda. XIIII. ACHAZ. ann. XVI,,,,,,,,,
V,,I In Lacedemone [Greek]ephoros[/Greek] quod magistratus nomen est. constituit. fuit aut sub regibus lacede. monio ann. CCCL,XIX,,XXII,XL,XXII,Roma parilibus qui nuc dies festus e condita.,XVII,XXV,
Olympias. VI.,,,,,,,,,,,
VI,,II,,XX,XXIII,XLI,XXIII,,XVIII,XXVI,
,,,,Israel OSEe. ann. VIIII.,,Remus rostro pastorali a fabio romuli duce accidit. Consualib ludis sabine rapte anno ab urbe condita III. et una virginu pulcherrima cuncto acclamatione rapientu Talasso duci romuli decernit. un in nuptia solenitatib talasso uulgo clamitant q s. talis nupta sit. : que Talssu habere mereatur.,Atheniensiu. XIII Alemeon. ann. II.,,,,
VII,,III,,I,XIIII,XLII,I,,XIX,XXVII,
VIII,,IIII,,II,XXV,XLIII,II,,XX,XXVIII,
,,,,,,,CAROPS. ann. X.,,,,
IX,,IIIII,,III,XXVI,XLIIII,I,Athenis pnapes qui usq ad morte rei. p. preerant desierunt. et usq in. X. annu magistratuu gsuetudo uersa est. regnauit pmus Carops filius escheli.,XXI,XXIX,
