,MEDORUM,HEBRAEORUM,LYDORUM,ATHENIENSIUM,REGN. MACEDONUM,ROMANORUM,REGN. AEGYPTIORUM,ANN. MUNDI.
tedio confectus in archasitam i minius qm [illegible],,,,,,,,
,XXVII,VII,VIII,IX,I,XVIII,II,
,XXVIII,VIII,IX,X,II,XIX,III,
,,,,Atheniensium Clidicus ann. X.,,,,
,XXIX,IX,X,I,III,XX,IIII,
,OLYMPIAS. XII,,,,,,,
,XXX,X,XI,II,IIII,XXI,V,
,XXXI,XI,XII,III,V,XXII,VI,
,XXXII,XII,XIII,IIII,VI,XXIII,VII,IIIICCCCLXX
,XXXIII,XIII,XIIII,V,VII,XXIIII,VIII,
,Olympias. XIII,,Ludorum.III.Meles.ann.XII.,,,,,
,XXXIIII,XIIII,I,VI,VIII,XXV Romulus primus milites sumpsit ex populo: Et nobilissimos. C. Senes ob etate senatores: ob similitudine cure patres appellauit. Templa quoq et muros Romanae urbis extruxit.,IX,
,XXXV,XV,II,VII,IX,XXVI,X,
,XXXVI,XVI,III,VIII,X,XXVII,XI,
,XXXVII,XVII,IIII,IX,XI,XXVIII,XII,
,Olympias.XIIII,,,,,,SEBICVS. ann. XII,
,XXXVIII,XVIII,V,X,XII,XXIX,I,
,,,,Post que hippomanes ann. X.,,,,
,XXXIX,XIX,VI,I,XIII,XXX,II,
,XL,XX,VII,II,XIIII,XXXI,III,
,Medorum. IIII. Cardiceas. ann. XIII.,,,,,,,
,I,XXI Mare obtinuerunt Chares.,VIII,III,XV,XXXII,IIII,
,Olympias. XV.,,,,,,,
,II,XXII,IX,IIII,XVI,XXXIII,V,IIIICCCCLXXX.
,III,XXIII,X,V,XVII,XXXIIII,VI,
,IIII,XXIIII,XI,VI,XVIII,XXXV,VII,
