MEDORUM,HEBRAEORUM iuda,LYDORUM,ATHENIENSIUM.,REGN MACEDORUM,ROMANORUM,AEGYPTIORUM,ANN. MUNDI 
V, XXV, XII, VII Bellum quod in Thirea inter Lacedemonias et Argiuas gessum est., XVIIII, XXXVI, VIII, 
Olympias. XVI,, Lydorum. IIII. Candaules. Ann. XVII.,,, ROMVLVS apud paludes capree nusq comparuit. et suadente Iulio proculo: quirini nomine apud suos consecratus est. Mortuo romulo p qui nos dies Senatores rem. p. rexerut: atq ita unus annus ex pletus: quod tempus interregnum apellatum est.,,
VI, XXVI, I, VIII, XX, XXXVII, IX,
VII, XXVII, II, IX, XXI, I Annus interregni post romulu. Romanoru. Annus interregni post romulu., X, 
,,,,Romanoru. II. Numapompilius. Ann. XLI.,,,
VIII, XXVIII., III, X, XXII, I, XI,
,,,Post quem LEOCRAtes. Ann. X.,,,,
IX, XXIX, IIII, I Sibilla Samia que et erophila insignis habet., XXIII, II, XII,
Oylmpias. XVII, Hebraeorum Iuda. XVI. Manasses. Ann. LV.,,,,Numapompilius duos menses anno addidit. Ianuariu: et februariu: cum ante hoc. X. tm menses apud romanos fuissent. adeo ut ultimus december diceret. capitolium quoq a fundamentus edificauit et congiarium dedit Asses ligneus et scorteos., AEGIPTI. TARAcus ethiops. ann. XX.,
X, I Manasses impius esaiam interfecit statuam suam possuit. V. facies habentem., V II Nicomedia condita que Astachon pus uocabat., XXIIII, III, I,
